Camion|Accion|Pedidos|Destinos|Productos|Cantidad
20|Creado|{8874392: 89}|Bizkaia|16|89
21|Creado|{1155784: 544}|Cádiz|17|544
21|Modificado|{1155784: 544},{4067464: 311}|Cádiz,Sevilla|17,17|855
21|Modificado|{1155784: 544},{4067464: 311},{5417721: 145}|Cádiz,Sevilla,Murcia|17,17,17|1000
22|Creado|{5417721: 125}|Murcia|17|125
22|Modificado|{5417721: 125},{7306220: 476}|Murcia,Jaén|17,17|601
22|Modificado|{5417721: 125},{7306220: 476},{8305952: 340}|Murcia,Jaén,Leiria|17,17,17|941
23|Creado|{3596433: 407}|Almería|18|407
23|Modificado|{3596433: 407},{7868802: 300}|Almería,Huelva|18,18|707
23|Modificado|{3596433: 407},{7868802: 300},{9148397: 293}|Almería,Huelva,Leiria|18,18,18|1000
24|Creado|{9148397: 150}|Leiria|18|150
24|Modificado|{9148397: 150},{6961227: 298}|Leiria,Lugo|18,18|448
25|Creado|{9259186: 264}|Alicante|19|264
25|Modificado|{9259186: 264},{1227784: 419}|Alicante,Lisboa|19,19|683
25|Modificado|{9259186: 264},{1227784: 419},{2678038: 293}|Alicante,Lisboa,Castellón|19,19,19|976
25|Modificado|{9259186: 264},{1227784: 419},{2678038: 293},{5880767: 24}|Alicante,Lisboa,Castellón,Lleida|19,19,19,19|1000
26|Creado|{5880767: 395}|Lleida|19|395
26|Modificado|{5880767: 395},{1121588: 605}|Lleida,Huesca|19,19|1000
27|Creado|{1121588: 89}|Huesca|19|89
27|Modificado|{1121588: 89},{1889385: 492}|Huesca,Andorra la Vella|19,19|581
28|Creado|{7109725: 345}|Cádiz|2|345
28|Modificado|{7109725: 345},{5565569: 516}|Cádiz,Jaén|2,2|861
28|Modificado|{7109725: 345},{5565569: 516},{6413344: 139}|Cádiz,Jaén,Albacete|2,2,2|1000
29|Creado|{6413344: 373}|Albacete|2|373
29|Modificado|{6413344: 373},{8558348: 423}|Albacete,Madrid|2,2|796
29|Modificado|{6413344: 373},{8558348: 423},{9045735: 204}|Albacete,Madrid,Ordino|2,2,2|1000
30|Creado|{9045735: 97}|Ordino|2|97
31|Creado|{5600590: 498}|Viseu|20|498
31|Modificado|{5600590: 498},{9327023: 381}|Viseu,Segovia|20,20|879
32|Creado|{4567464: 399}|Huelva|3|399
32|Modificado|{4567464: 399},{6511226: 346}|Huelva,Jaén|3,3|745
32|Modificado|{4567464: 399},{6511226: 346},{3359322: 255}|Huelva,Jaén,Guarda|3,3,3|1000
33|Creado|{3359322: 194}|Guarda|3|194
33|Modificado|{3359322: 194},{9362651: 423}|Guarda,Lleida|3,3|617
34|Creado|{5382627: 488}|Murcia|4|488
34|Modificado|{5382627: 488},{2401506: 305}|Murcia,Beja|4,4|793
34|Modificado|{5382627: 488},{2401506: 305},{5669830: 207}|Murcia,Beja,Segovia|4,4,4|1000
35|Creado|{5669830: 71}|Segovia|4|71
35|Modificado|{5669830: 71},{3211062: 385}|Segovia,Salamanca|4,4|456
35|Modificado|{5669830: 71},{3211062: 385},{1408270: 474}|Segovia,Salamanca,Pontevedra|4,4,4|930
35|Modificado|{5669830: 71},{3211062: 385},{1408270: 474},{4455899: 70}|Segovia,Salamanca,Pontevedra,Ordino|4,4,4,4|1000
36|Creado|{4455899: 758}|Ordino|4|758
36|Modificado|{4455899: 758},{2187268: 242}|Ordino,Bizkaia|4,4|1000
37|Creado|{2187268: 47}|Bizkaia|4|47
38|Creado|{3813897: 501}|Huesca|5|501
38|Modificado|{3813897: 501},{6024806: 290}|Huesca,Pontevedra|5,5|791
38|Modificado|{3813897: 501},{6024806: 290},{7204221: 209}|Huesca,Pontevedra,Ordino|5,5,5|1000
39|Creado|{7204221: 243}|Ordino|5|243
40|Creado|{3652722: 488}|Granada|6|488
40|Modificado|{3652722: 488},{2136142: 413}|Granada,Murcia|6,6|901
40|Modificado|{3652722: 488},{2136142: 413},{2578786: 99}|Granada,Murcia,Setúbal|6,6,6|1000
41|Creado|{2578786: 158}|Setúbal|6|158
41|Modificado|{2578786: 158},{5821169: 506}|Setúbal,Segovia|6,6|664
41|Modificado|{2578786: 158},{5821169: 506},{1729501: 336}|Setúbal,Segovia,Palencia|6,6,6|1000
42|Creado|{1729501: 63}|Palencia|6|63
42|Modificado|{1729501: 63},{5208731: 505}|Palencia,La Massana|6,6|568
42|Modificado|{1729501: 63},{5208731: 505},{3275752: 301}|Palencia,La Massana,Escaldes-Engordany|6,6,6|869
42|Modificado|{1729501: 63},{5208731: 505},{3275752: 301},{9036898: 131}|Palencia,La Massana,Escaldes-Engordany,León|6,6,6,6|1000
43|Creado|{9036898: 152}|León|6|152
44|Creado|{9846177: 288}|Córdoba|7|288
44|Modificado|{9846177: 288},{7705398: 443}|Córdoba,Castellón|7,7|731
44|Modificado|{9846177: 288},{7705398: 443},{7689547: 269}|Córdoba,Castellón,Oporto|7,7,7|1000
45|Creado|{7689547: 49}|Oporto|7|49
45|Modificado|{7689547: 49},{1688276: 265}|Oporto,Huesca|7,7|314
46|Creado|{1764487: 336}|Murcia|8|336
46|Modificado|{1764487: 336},{9832762: 252}|Murcia,Burgos|8,8|588
47|Creado|{6177675: 272}|Huelva|9|272
47|Modificado|{6177675: 272},{1320037: 453}|Huelva,Santarém|9,9|725
47|Modificado|{6177675: 272},{1320037: 453},{8925161: 275}|Huelva,Santarém,Viana do Castelo|9,9,9|1000
48|Creado|{8925161: 9}|Viana do Castelo|9|9
48|Modificado|{8925161: 9},{4361626: 402}|Viana do Castelo,Logroño|9,9|411
48|Modificado|{8925161: 9},{4361626: 402},{2684494: 425}|Viana do Castelo,Logroño,Encamp|9,9,9|836
48|Modificado|{8925161: 9},{4361626: 402},{2684494: 425},{2553527: 164}|Viana do Castelo,Logroño,Encamp,Ordino|9,9,9,9|1000
49|Creado|{2553527: 182}|Ordino|9|182
49|Modificado|{2553527: 182},{2931523: 263}|Ordino,A Coruña|9,9|445
2|Modificado|{5007723: 329},{6717756: 4},{3510654: 377},{6801090: 342}|Pontevedra,Lleida,La Massana,Canillo|1,10,10,10|1000
5|Modificado|{6717756: 4},{3510654: 377},{6801090: 342}|Lleida,La Massana,Canillo|10,10,10|52
8|Modificado|{5843322: 17},{9049281: 264},{7632527: 397},{6717756: 4},{3510654: 377},{6801090: 342}|Valencia,Huesca,Ordino,Lleida,La Massana,Canillo|11,11,11,10,10,10|730
5|Eliminado||||
9|Modificado|{9431068: 261},{5843322: 17},{9049281: 264},{7632527: 397},{6717756: 4},{3510654: 377},{6801090: 342}|Faro,Valencia,Huesca,Ordino,Lleida,La Massana,Canillo|12,11,11,11,10,10,10|991
8|Eliminado||||
11|Modificado|{2862217: 332},{6645964: 540},{9431068: 261},{5843322: 17},{9049281: 264},{7632527: 397},{6717756: 4},{3510654: 377},{6801090: 342}|Sant Julià de Lòria,Lugo,Faro,Valencia,Huesca,Ordino,Lleida,La Massana,Canillo|13,13,12,11,11,11,10,10,10|1000
9|Modificado|{9431068: 261},{5843322: 17},{9049281: 264},{7632527: 397},{6717756: 4},{3510654: 377},{6801090: 342}|Faro,Valencia,Huesca,Ordino,Lleida,La Massana,Canillo|12,11,11,11,10,10,10|863
