cif_empresa,nombre_cliente,latitud,longitud,direccion,contacto_telefono,contacto_email
F34181536,Biofrutal,41.830116,0.216181,Huesca,+34 421 052 381,info@biofrutal.com
H50034039,Garizur S.L,38.031997,-4.058837,Jaén,+34 955 970 456,info@garizur.com
D90401382,Mercaleón,42.583276,-5.573597,León,+34 43 003 600,info@mercaleón.com
A43314608,Grupo Borràs,41.604913,0.679305,Lleida,+34 326 676 027,info@grupoborràs.com
H19882206,Transgourmet Logroño,42.455927,-2.407701,Logroño,+34 106 363 989,info@transgourmetlogroño.com
B61789367,Tegasa Distribuciones Alimentarias,43.039131,-7.550207,Lugo,+34 500 288 288,info@tegasadistribucionesalimentarias.com
L34845958,Distribuciones Rivera,40.399621,-3.59424,Madrid,+34 966 002 654,info@distribucionesrivera.com
D43972411,Malagueña,36.702452,-4.472161,Málaga,+34 753 657 200,info@malagueña.com
B31135513,Mercamurcia,37.932005,-1.195947,Murcia,+34 646 423 968,info@mercamurcia.com
G48706246,Distribuciones Jate Iruña,42.788558,-1.625538,Navarra,+34 226 220 030,info@distribucionesjateiruña.com
G16043750,Grupo J.B. Cao,42.910419,-8.515368,Ourense,+34 558 255 549,info@grupojbcao.com
L26857763,Semark AC Group.S.A,41.964811,-4.506013,Palencia,+34 732 308 236,info@semarkacgroup.com
C98454639,Monteverde Distribuciones,42.402276,-8.583134,Pontevedra,+34 153 696 702,info@monteverdedistribuciones.com
G75232708,Distribuciones Froiz S.A,40.96337,-5.734527,Salamanca,+34 720 237 635,info@distribucionesfroiz.com
D54829731,Bollería J. Sánchez e Hijos S.L,40.905792,-4.107008,Segovia,+34 560 099 844,info@bolleríajsánchezehijos.com
E62924835,Grupo MAS,37.269298,-5.994452,Sevilla,+34 413 626 910,info@grupomas.com
E37234925,Friólvega S.A,41.78641,-1.989204,Soria,+34 456 614 007,info@friólvega.com
L11840211,ID Logistics,41.275076,1.513732,Tarragona,+34 457 946 674,info@idlogistics.com
F36531008,Transmaba,40.365727,-1.157177,Teruel,+34 204 922 427,info@transmaba.com
L15431876,Logística Cedena S.L,40.183041,-3.723122,Toledo,+34 516 541 670,info@logísticacedena.com
H45378615,Grupo Monllor,39.514124,-0.476974,Valencia,+34 151 661 636,info@grupomonllor.com
D54661573,LMG Logistic,41.541969,-4.663801,Valladolid,+34 328 242 977,info@lmglogistic.com
C23977041,Transportes Zamora,41.519608,-5.736363,Zamora,+34 587 797 270,info@transporteszamora.com
C65081215,XPO Logistics,41.734671,-1.206108,Zaragoza,+34 468 438 026,info@xpologistics.com
C17729241,Pantoja Grupo Logístico,40.551625,-8.553303,Aveiro,+351 722 436 619,info@pantojagrupologistico.com
L60867006,Fibrobeja ,38.007831,-7.855995,Beja,+351 230 869 258,info@fibrobeja.com
A46715217,Torrestir,41.53178,-8.2422746,Braga,+351 207 677 032,info@torrestir.com
K41092198,Gostei,41.788533,-6.779713,Braganza,+351 945 024 821,info@gostei.com
D23336156,Danigurte,39.806559,-7.528487,Castelo Branco,+351 892 588 132,info@danigurte.com
B70158087,Stef Coimbra,40.190739,-8.517509,Coimbra,+351 544 687 063,info@stefcoimbra.com
K19267654,Jefra,38.544685,-7.915859,Évora,+351 181 884 123,info@jefra.com
F86466817,Frimarc,37.081185,-7.891208,Faro,+351 648 631 835,info@frimarc.com
K20813122,Friguarda,40.582396,-7.154403,Guarda,+351 604 900 545,info@friguarda.com
E48367217,Bel Logística e Distribuição,39.752122,-8.865028,Leiria,+351 746 426 338,info@bellogisticaedistribuicao.com
H27063606,Frutogal,38.697812,-9.192319,Lisboa,+351 853 723 867,info@frutogal.com
E30624932,L.Ribeiro,39.268988,-7.43448,Portalegre,+351 990 806 539,info@lribeiro.com
H22774301,Cristina MM Produtos Alimentares,41.116767,-8.574959,Oporto,+351 479 941 220,info@cristinammprodutosalimentares.com
D10491986,Santarendis,39.24899,-8.674233,Santarém,+351 941 933 305,info@santarendis.com
L59853658,ValeDeal,38.541717,-8.827679,Setúbal,+351 994 964 291,info@valedeal.com
K42111490,Gelviana,41.712777,-8.85317,Viana do Castelo,+351 711 109 485,info@gelviana.com
A51293743,Distribui Alimentos Lda,41.277143,-7.712157,Vila Real,+351 409 853 197,info@distribuialimentos.com
H98721977,Leitão & Mamede,40.630214,-7.876921,Viseu,+351 251 081 013,info@leitão&mamede.com
A92333790,Sumalisa,42.483562,1.490046,Andorra la Vella,+376 59 52 77,info@sumalisa.com
K97925950,Diplo Andorra,42.552931,1.590835,Canillo,+376 78 13 72,info@diploandorra.com
L21420173,Becier Distribuciones,42.463523,1.491706,Encamp,+376 13 30 02,info@becierdistribuciones.com
H25832898,E.Leclerc,42.508834,1.532288,Escaldes-Engordany,+376 87 40 17,info@eleclerc.com
K19501659,Traldis Porta,42.456239,1.485435,La Massana,+376 95 49 27,info@traldisporta.com
F37396914,Traldis Ordino,42.581727,1.519813,Ordino,+376 77 78 73,info@traldisordino.com
D64752757,Friman,42.468846,1.493294,Sant Julià de Lòria,+376 36 41 36,info@friman.com
